VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
SimpleFlight	1739253840451	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253884907526700.png
SimpleFlight	1739253840652	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253885109472500.png
SimpleFlight	1739253840946	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253885402150300.png
SimpleFlight	1739253841237	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253885695439200.png
SimpleFlight	1739253841543	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253886001466600.png
SimpleFlight	1739253841846	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253886303502700.png
SimpleFlight	1739253842152	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253886609555600.png
SimpleFlight	1739253842449	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253886906926300.png
SimpleFlight	1739253842722	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253887216405500.png
SimpleFlight	1739253843067	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253887562695000.png
SimpleFlight	1739253843376	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253887872888900.png
SimpleFlight	1739253843688	0	0	0.671351	1	0	0	0	img_SimpleFlight__0_1739253888184507100.png
SimpleFlight	1739253843997	0	0	0.632363	1	0	0	0	img_SimpleFlight__0_1739253888493121000.png
SimpleFlight	1739253844300	0	0	0.497974	1	0	0	0	img_SimpleFlight__0_1739253888795593200.png
SimpleFlight	1739253844597	0	0	0.360895	1	0	0	0	img_SimpleFlight__0_1739253889092623100.png
SimpleFlight	1739253844897	0	0	0.219478	1	0	0	0	img_SimpleFlight__0_1739253889392144300.png
SimpleFlight	1739253845197	0	0	0.0759211	1	0	0	0	img_SimpleFlight__0_1739253889693241300.png
SimpleFlight	1739253845497	0	0	-0.0691771	1	0	0	0	img_SimpleFlight__0_1739253889992929900.png
SimpleFlight	1739253845797	0	0	-0.215386	1	0	0	0	img_SimpleFlight__0_1739253890294091900.png
SimpleFlight	1739253846094	0	0	-0.360921	1	0	0	0	img_SimpleFlight__0_1739253890589161600.png
SimpleFlight	1739253846382	0	0	-0.502588	1	0	0	0	img_SimpleFlight__0_1739253890879330700.png
SimpleFlight	1739253846673	0	0	-0.646126	1	0	0	0	img_SimpleFlight__0_1739253891169060700.png
SimpleFlight	1739253846973	0	0	-0.794405	1	0	0	0	img_SimpleFlight__0_1739253891470900400.png
SimpleFlight	1739253847264	0	0	-0.866518	1	0	0	0	img_SimpleFlight__0_1739253891760997500.png
SimpleFlight	1739253847555	0	0	-1.11881	1	0	0	0	img_SimpleFlight__0_1739253892050530700.png
SimpleFlight	1739253847843	0	0	-1.88137	1	0	0	0	img_SimpleFlight__0_1739253892341049500.png
SimpleFlight	1739253848122	0	0	-2.79397	1	0	0	0	img_SimpleFlight__0_1739253892620245800.png
SimpleFlight	1739253848383	0	0	-3.63176	1	0	0	0	img_SimpleFlight__0_1739253892879281400.png
SimpleFlight	1739253848632	0	0	-4.4185	1	0	0	0	img_SimpleFlight__0_1739253893128367700.png
SimpleFlight	1739253848875	0	0	-5.06713	1	0	0	0	img_SimpleFlight__0_1739253893371713000.png
SimpleFlight	1739253849112	0.000899162	0.00188038	-5.40358	0.995703	0.0827699	-0.0415183	0.000327892	img_SimpleFlight__0_1739253893609441100.png
SimpleFlight	1739253849343	0.0279323	0.0556981	-5.53164	0.990199	0.124189	-0.0637916	0.00374363	img_SimpleFlight__0_1739253893840116200.png
SimpleFlight	1739253849574	0.102568	0.203088	-5.5123	0.991472	0.115334	-0.0600968	0.00838616	img_SimpleFlight__0_1739253894069484300.png
SimpleFlight	1739253849808	0.239494	0.472504	-5.48633	0.995378	0.0849505	-0.0438485	0.00914581	img_SimpleFlight__0_1739253894305657800.png
SimpleFlight	1739253850048	0.433298	0.854002	-5.49192	0.997672	0.0608129	-0.030457	0.00506427	img_SimpleFlight__0_1739253894546194500.png
SimpleFlight	1739253850291	0.662108	1.30563	-5.47433	0.999208	0.0359593	-0.0170313	0.000656104	img_SimpleFlight__0_1739253894789871800.png
SimpleFlight	1739253850543	0.919292	1.81529	-5.45186	0.999985	-0.00383731	0.00365481	-0.0010734	img_SimpleFlight__0_1739253895039826900.png
SimpleFlight	1739253850792	1.1594	2.29334	-5.47946	0.994993	-0.0890416	0.0453962	0.000395792	img_SimpleFlight__0_1739253895288605700.png
SimpleFlight	1739253851038	1.36209	2.6973	-5.47295	0.999667	0.0221077	-0.0130876	0.00260447	img_SimpleFlight__0_1739253895536548500.png
SimpleFlight	1739253851290	1.58159	3.12982	-5.46338	0.99911	0.0365018	-0.0210751	0.00186862	img_SimpleFlight__0_1739253895786066400.png
SimpleFlight	1739253851545	1.82823	3.60897	-5.45383	0.999881	0.0123942	-0.00913145	0.000411262	img_SimpleFlight__0_1739253896042396100.png
SimpleFlight	1739253851797	2.07632	4.08397	-5.46226	0.99638	-0.0755413	0.0389995	8.12393e-06	img_SimpleFlight__0_1739253896296518400.png
SimpleFlight	1739253852058	2.28665	4.48357	-5.5095	0.999756	-0.0204488	0.00811337	0.0020553	img_SimpleFlight__0_1739253896555486700.png
SimpleFlight	1739253852313	2.48125	4.8455	-5.49219	0.998425	0.046134	-0.0317917	0.00295565	img_SimpleFlight__0_1739253896812190400.png
SimpleFlight	1739253852574	2.71912	5.2707	-5.49788	0.99837	0.0470467	-0.0322586	0.00171718	img_SimpleFlight__0_1739253897071159900.png
SimpleFlight	1739253852832	2.99285	5.74635	-5.47453	0.999313	0.0296044	-0.0222694	0.000867461	img_SimpleFlight__0_1739253897329701200.png
SimpleFlight	1739253853090	3.29514	6.2587	-5.45849	0.99998	-0.00560283	-0.00302334	0.000204262	img_SimpleFlight__0_1739253897587151900.png
SimpleFlight	1739253853345	3.58584	6.73919	-5.49002	0.995039	-0.0854895	0.0508867	0.000486001	img_SimpleFlight__0_1739253897844396800.png
SimpleFlight	1739253853606	3.82752	7.13363	-5.5055	0.999933	-0.000882673	-0.0109571	0.00368444	img_SimpleFlight__0_1739253898104778700.png
SimpleFlight	1739253853867	4.07883	7.522	-5.42989	0.998704	0.0340462	-0.0376992	0.00305179	img_SimpleFlight__0_1739253898364504900.png
SimpleFlight	1739253854125	4.37671	7.94812	-5.41298	0.999186	0.0237879	-0.032577	0.000672859	img_SimpleFlight__0_1739253898624874000.png
SimpleFlight	1739253854392	4.72553	8.41555	-5.39038	0.998532	-0.0476426	0.0257597	-0.00119172	img_SimpleFlight__0_1739253898888633400.png
SimpleFlight	1739253854656	5.03934	8.81606	-5.44035	0.994701	-0.0814369	0.0627454	0.000729131	img_SimpleFlight__0_1739253899154244700.png
SimpleFlight	1739253854920	5.27945	9.11531	-5.45927	0.999277	-0.0177459	-0.0329589	0.00670796	img_SimpleFlight__0_1739253899419284800.png
